index,uid
6026,908902
6036,704732
6055,412498
6057,159809
6066,581605
6069,524958
6073,963666
6077,632021
6080,790127
6091,637562
6096,880464
6097,924495
6099,722892
6113,806307
6119,405086
6138,757336
6158,849920
6163,514780
6165,573016
6169,834636
6174,767073
6179,308214
6181,131564
6185,947264
6198,468126
6200,756309
6206,305304
6226,191791
6228,641715
6242,426653
6244,789346
6258,228649
6262,162433
6271,370880
6273,353974
6302,962359
6305,860021
6318,361102
6321,640281
6322,412558
6340,200131
6348,294445
6355,965356
6363,479487
6365,129946
6366,574496
6387,988602
6396,396560
6400,663494
6405,198020
6408,736087
6416,767038
6420,977724
6423,301065
6429,866534
6434,821544
6438,604189
6444,957434
6453,192498
6455,511923
6463,351518
6467,127072
6473,734573
6474,431910
6476,476733
6489,665807
6496,909347
6498,211339
6500,739659
6513,829026
6516,730124
6529,262749
6566,388664
6589,557101
6591,196953
6597,256453
6598,244128
6600,176311
6630,288988
6634,660160
6638,899575
6644,211925
6652,414143
6654,555599
6662,313014
6676,568543
6677,882830
6679,804066
6684,185730
6688,577523
6711,269883
6713,391503
6722,269550
6723,727369
6725,837967
6734,129483
6735,892791
6754,430284
6758,166175
6768,144761
6775,715930
6782,299189
6785,540939
6798,309898
6810,111640
6813,753850
6826,105283
6827,748231
6849,288422
6853,811776
6872,871867
6873,634389
6877,561481
6881,973683
6891,912487
6905,256360
6907,770325
6913,482303
6915,328898
6917,808274
6926,600988
6930,776851
6950,439416
6961,580210
6963,424161
6967,943967
6973,540867
6975,942480
6995,578924
7023,390201
7029,276425
7043,474182
7055,813954
7065,915722
7069,350993
7072,628763
7080,851515
7081,797546
7089,772487
7093,266315
7115,340095
7117,165971
7123,469100
7126,913778
7132,587732
7141,641715
7143,908227
7173,548012
7178,346863
7179,940340
7189,851604
7205,420988
7210,866534
7216,657241
7222,808228
7223,526426
7225,181450
7231,593633
7234,840355
7239,244979
7249,763941
7255,539560
7258,764453
7259,862527
7268,496012
7269,617237
7270,808228
7274,460929
7283,664798
7296,358316
7311,483962
7325,771164
7326,266315
7328,598488
7329,236390
7353,568453
7354,936369
7365,355534
7367,230149
7369,688036
7371,433479
7382,547365
7392,782763
7398,662935
7421,917164
7436,847346
7441,869899
7445,399156
7451,674815
7456,591497
7466,445181
7472,815518
7478,435246
7492,692178
7494,700589
7500,339733
7508,539560
7509,565983
7511,594685
7516,650455
7533,718755
7538,314719
7539,154040
7540,686937
7545,420988
7548,288901
7560,525763
7567,500691
7574,879885
7576,951846
7580,626962
7583,950033
7588,423651
7590,850759
7603,883194
7616,432568
7630,813684
7633,711645
7636,242088
7640,254579
7644,936468
7656,237034
7681,565041
7684,572433
7706,496530
7710,372852
7713,437713
7726,446862
7733,902189
7737,818044
7740,741869
7746,201008
7750,399533
7752,615588
7754,454246
7756,956976
7760,505238
7767,288438
7784,700897
7787,379574
7805,138760
7806,497713
7809,280172
7816,545292
7823,337439
7834,405528
7847,478407
7855,786451
7865,422537
7866,480617
7870,385831
7877,547555
7886,145448
7901,805327
7904,905493
7909,566123
7911,522827
7919,503279
7921,200071
7929,338047
7947,442549
7954,862922
7956,984743
7966,862503
7986,730412
7989,881073
8011,707429
8012,459194
8017,148957
8024,737108
8025,323820
8036,120004
8037,228861
8049,565244
8051,319367
8072,612764
8078,613890
8079,605858
8104,108744
8112,141056
8113,614489
8115,652204
8132,475603
8136,628763
8137,460771
8140,330658
8155,410105
8161,694695
8165,575589
8172,373975
8184,808274
8202,823484
8203,988154
8206,724862
8211,641361
8225,986698
8228,586979
8233,221578
